,code,name,high,close,highpercent,url
9,603663,三祥新材,45.24,42.7698531,-5.46,https://xueqiu.com/S/SH603663
25,002843,泰嘉股份,37.03,35.0999748,-5.212,https://xueqiu.com/S/SZ002843
15,300293,蓝英装备,17.46,16.6700067,-4.525,https://xueqiu.com/S/SZ300293
14,000722,湖南发展,17.38,16.850068,-3.049,https://xueqiu.com/S/SZ000722
22,300225,金力泰,12.46,12.2999613,-1.284,https://xueqiu.com/S/SZ300225
1,603323,吴江银行,19.11,18.8700732,-1.256,https://xueqiu.com/S/SH603323
27,300493,润欣科技,46.42,46.42,0.0,https://xueqiu.com/S/SZ300493
26,603990,麦迪科技,52.57,52.569955799999995,-0.0,https://xueqiu.com/S/SH603990
24,603579,荣泰健康,125.54,125.53957609999999,-0.0,https://xueqiu.com/S/SH603579
23,002819,东方中科,39.99,39.990089,0.0,https://xueqiu.com/S/SZ002819
21,002148,北纬通信,20.2,20.200039200000003,0.0,https://xueqiu.com/S/SZ002148
20,603322,超讯通信,82.64,82.63999479999998,-0.0,https://xueqiu.com/S/SH603322
19,603090,宏盛股份,44.15,44.149986,-0.0,https://xueqiu.com/S/SH603090
18,300228,富瑞特装,14.26,14.260017600000001,0.0,https://xueqiu.com/S/SZ300228
17,300592,华凯创意,36.3,36.3,0.0,https://xueqiu.com/S/SZ300592
16,300562,乐心医疗,148.37,148.3693488,-0.0,https://xueqiu.com/S/SZ300562
0,603839,安正时尚,38.92,38.9201228,0.0,https://xueqiu.com/S/SH603839
13,600802,福建水泥,12.97,12.969943199999998,-0.0,https://xueqiu.com/S/SH600802
12,601007,金陵饭店,16.98,16.9799856,-0.0,https://xueqiu.com/S/SH601007
11,300466,赛摩电气,37.87,37.8699013,-0.0,https://xueqiu.com/S/SZ300466
10,603360,百傲化学,35.76,35.7600247,0.0,https://xueqiu.com/S/SH603360
8,002279,久其软件,17.95,17.9500416,0.0,https://xueqiu.com/S/SZ002279
7,300085,银之杰,20.97,20.970002599999997,0.0,https://xueqiu.com/S/SZ300085
6,002452,长高集团,9.5,9.5000256,0.0,https://xueqiu.com/S/SZ002452
5,600833,第一医药,21.91,21.910008,0.0,https://xueqiu.com/S/SH600833
4,002321,华英农业,11.2,11.200036,0.0,https://xueqiu.com/S/SZ002321
3,603799,华友钴业,49.78,49.779977499999994,-0.0,https://xueqiu.com/S/SH603799
2,300175,朗源股份,15.9,15.900057499999997,0.0,https://xueqiu.com/S/SZ300175
28,603838,四通股份,19.57,19.5700674,0.0,https://xueqiu.com/S/SH603838
29,300427,红相电力,26.9,26.89989,-0.0,https://xueqiu.com/S/SZ300427
