,code,name,high,close,highpercent,url
17,300570,太辰光,50.86,49.59979840000001,-2.478,https://xueqiu.com/S/SZ300570
16,603322,超讯通信,104.69,103.7895469,-0.86,https://xueqiu.com/S/SH603322
15,002807,江阴银行,17.75,17.7299514,-0.113,https://xueqiu.com/S/SZ002807
14,002234,民和股份,20.27,20.270051199999997,0.0,https://xueqiu.com/S/SZ002234
13,002174,游族网络,29.63,29.629959000000003,-0.0,https://xueqiu.com/S/SZ002174
12,002826,易明医药,31.5,31.4999904,-0.0,https://xueqiu.com/S/SZ002826
11,603823,百合花,33.04,33.0400948,0.0,https://xueqiu.com/S/SH603823
10,603298,杭叉集团,29.94,29.9400946,0.0,https://xueqiu.com/S/SH603298
9,300607,拓斯达,77.02,77.0198994,-0.0,https://xueqiu.com/S/SZ300607
0,000591,太阳能,14.8,14.7999765,-0.0,https://xueqiu.com/S/SZ000591
6,002458,益生股份,32.11,32.1098757,-0.0,https://xueqiu.com/S/SZ002458
5,300123,太阳鸟,21.66,21.6599845,-0.0,https://xueqiu.com/S/SZ300123
4,300424,航新科技,57.48,57.480225,0.0,https://xueqiu.com/S/SZ300424
3,002846,英联股份,41.43,41.43014259999999,0.0,https://xueqiu.com/S/SZ002846
2,600463,空港股份,17.25,17.2500384,0.0,https://xueqiu.com/S/SH600463
1,300028,金亚科技,15.6,15.599985199999999,-0.0,https://xueqiu.com/S/SZ300028
7,603040,新坐标,67.52,67.5198414,-0.0,https://xueqiu.com/S/SH603040
8,002352,顺丰控股,55.21,55.210003799999996,0.0,https://xueqiu.com/S/SZ002352
