,code,name,high,close,highpercent,url
15,300256,星星科技,12.46,11.750003099999999,-5.698,https://xueqiu.com/S/SZ300256
12,600610,中毅达,11.65,11.240014200000001,-3.519,https://xueqiu.com/S/SH600610
17,600449,宁夏建材,15.07,14.729966,-2.256,https://xueqiu.com/S/SH600449
0,002799,环球印务,46.56,46.1998086,-0.774,https://xueqiu.com/S/SZ002799
5,002824,和胜股份,57.59,57.579764999999995,-0.018,https://xueqiu.com/S/SZ002824
16,600149,廊坊发展,23.43,23.43,0.0,https://xueqiu.com/S/SH600149
14,600845,宝信软件,19.62,19.6200752,0.0,https://xueqiu.com/S/SH600845
13,002747,埃斯顿,38.62,38.6199467,-0.0,https://xueqiu.com/S/SZ002747
11,603668,天马科技,28.85,28.850114700000002,0.0,https://xueqiu.com/S/SH603668
10,300589,江龙船艇,46.12,46.120064899999996,0.0,https://xueqiu.com/S/SZ300589
9,002842,翔鹭钨业,56.75,56.750031799999995,0.0,https://xueqiu.com/S/SZ002842
7,300591,万里马,26.02,26.0199665,-0.0,https://xueqiu.com/S/SZ300591
6,603638,艾迪精密,29.77,29.770058999999996,0.0,https://xueqiu.com/S/SH603638
4,300379,东方通,73.16,73.15966980000002,-0.0,https://xueqiu.com/S/SZ300379
3,002807,江阴银行,13.41,13.409975199999998,-0.0,https://xueqiu.com/S/SZ002807
2,002840,华统股份,31.28,31.280018400000003,0.0,https://xueqiu.com/S/SZ002840
1,002839,张家港行,13.39,13.3900425,0.0,https://xueqiu.com/S/SZ002839
8,603032,德新交运,33.09,33.0901056,0.0,https://xueqiu.com/S/SH603032
18,603022,新通联,27.5,27.5,0.0,https://xueqiu.com/S/SH603022
