,code,name,high,close,highpercent,url
8,603838,四通股份,21.56,19.769932000000004,-8.303,https://xueqiu.com/S/SH603838
10,600996,贵广网络,18.57,17.3700264,-6.462,https://xueqiu.com/S/SH600996
2,300161,华中数控,27.06,25.529880000000002,-5.655,https://xueqiu.com/S/SZ300161
11,600135,乐凯胶片,15.65,15.170033799999999,-3.067,https://xueqiu.com/S/SH600135
6,603688,石英股份,23.74,23.539895599999994,-0.843,https://xueqiu.com/S/SH603688
14,300419,浩丰科技,28.83,28.8299516,-0.0,https://xueqiu.com/S/SZ300419
13,002346,柘中股份,40.02,40.019819000000005,-0.0,https://xueqiu.com/S/SZ002346
12,603669,灵康药业,30.71,30.710045599999997,0.0,https://xueqiu.com/S/SH603669
9,000548,湖南投资,10.3,10.300024800000001,0.0,https://xueqiu.com/S/SZ000548
0,002323,雅百特,17.99,17.990068500000003,0.0,https://xueqiu.com/S/SZ002323
7,603626,科森科技,48.07,48.07,0.0,https://xueqiu.com/S/SH603626
5,601882,海天精工,26.81,26.8099244,-0.0,https://xueqiu.com/S/SH601882
4,600184,光电股份,25.7,25.6999712,-0.0,https://xueqiu.com/S/SH600184
3,300123,太阳鸟,20.08,20.0799275,-0.0,https://xueqiu.com/S/SZ300123
1,300099,尤洛卡,13.38,13.3800128,0.0,https://xueqiu.com/S/SZ300099
15,300141,和顺电气,24.11,24.1100272,0.0,https://xueqiu.com/S/SZ300141
16,002558,世纪游轮,70.27,70.2699164,-0.0,https://xueqiu.com/S/SZ002558
