,code,name,high,close,highpercent,url
16,002752,昇兴股份,22.74,21.439957500000002,-5.717,https://xueqiu.com/S/SZ002752
21,300123,太阳鸟,20.76,19.6900902,-5.154,https://xueqiu.com/S/SZ300123
17,002750,龙津药业,17.03,16.2100368,-4.815,https://xueqiu.com/S/SZ002750
0,603799,华友钴业,56.57,56.5699142,-0.0,https://xueqiu.com/S/SH603799
20,002826,易明医药,28.64,28.640093999999998,0.0,https://xueqiu.com/S/SZ002826
19,300599,雄塑科技,24.97,24.97,0.0,https://xueqiu.com/S/SZ300599
18,000663,永安林业,16.98,16.9799856,-0.0,https://xueqiu.com/S/SZ000663
15,002824,和胜股份,52.8,52.8,0.0,https://xueqiu.com/S/SZ002824
14,002728,特一药业,27.37,27.369990399999995,-0.0,https://xueqiu.com/S/SZ002728
13,002737,葵花药业,36.27,36.2699673,-0.0,https://xueqiu.com/S/SZ002737
12,002192,融捷股份,23.23,23.230099199999998,0.0,https://xueqiu.com/S/SZ002192
11,300356,光一科技,32.27,32.269892399999996,-0.0,https://xueqiu.com/S/SZ300356
9,002352,鼎泰新材,50.19,50.1898059,-0.0,https://xueqiu.com/S/SZ002352
8,000546,金圆股份,14.78,14.779967999999998,-0.0,https://xueqiu.com/S/SZ000546
7,002846,英联股份,37.66,37.659891200000004,-0.0,https://xueqiu.com/S/SZ002846
6,300061,康耐特,22.41,22.410055500000002,0.0,https://xueqiu.com/S/SZ300061
5,603839,安正时尚,47.09,47.09014380000001,0.0,https://xueqiu.com/S/SH603839
4,603322,超讯通信,95.17,95.1702696,0.0,https://xueqiu.com/S/SH603322
3,002323,雅百特,23.95,23.950047799999997,0.0,https://xueqiu.com/S/SZ002323
2,603838,四通股份,23.68,23.679985800000004,-0.0,https://xueqiu.com/S/SH603838
1,300602,飞荣达,59.26,59.2602322,0.0,https://xueqiu.com/S/SZ300602
10,002842,翔鹭钨业,56.9,56.89989619999999,-0.0,https://xueqiu.com/S/SZ002842
22,603877,太平鸟,39.52,39.5201256,0.0,https://xueqiu.com/S/SH603877
