,code,name,high,close,highpercent,url
6,000615,京汉股份,12.87,11.970035999999999,-6.993,https://xueqiu.com/S/SZ000615
0,000548,湖南投资,11.33,10.549981000000002,-6.885,https://xueqiu.com/S/SZ000548
5,300592,华凯创意,34.5,33.000128,-4.347,https://xueqiu.com/S/SZ300592
10,002194,武汉凡谷,13.32,12.780046299999999,-4.054,https://xueqiu.com/S/SZ002194
4,300299,富春通信,20.42,19.699955199999998,-3.526,https://xueqiu.com/S/SZ300299
8,002775,文科园林,22.31,21.579947999999998,-3.272,https://xueqiu.com/S/SZ002775
1,002323,雅百特,19.79,19.790079399999996,0.0,https://xueqiu.com/S/SZ002323
2,603208,江山欧派,63.36,63.36,0.0,https://xueqiu.com/S/SH603208
3,002451,摩恩电气,20.24,20.24,0.0,https://xueqiu.com/S/SZ002451
7,600075,新疆天业,14.31,14.309959200000002,-0.0,https://xueqiu.com/S/SH600075
9,002455,百川股份,13.46,13.459960800000001,-0.0,https://xueqiu.com/S/SZ002455
11,600802,福建水泥,11.79,11.789963199999999,-0.0,https://xueqiu.com/S/SH600802
12,601128,常熟银行,12.44,12.4399821,-0.0,https://xueqiu.com/S/SH601128
13,600908,无锡银行,12.91,12.910008399999999,0.0,https://xueqiu.com/S/SH600908
14,603323,吴江银行,17.37,17.369947399999997,-0.0,https://xueqiu.com/S/SH603323
15,300371,汇中股份,29.74,29.739944,-0.0,https://xueqiu.com/S/SZ300371
