,code,name,high,close,highpercent,url
12,600962,国投中鲁,19.2,18.220068499999996,-5.104,https://xueqiu.com/S/SH600962
5,600463,空港股份,16.76,16.2600132,-2.983,https://xueqiu.com/S/SH600463
0,300277,海联讯,12.75,12.370007000000001,-2.98,https://xueqiu.com/S/SZ300277
18,300268,万福生科,37.96,36.9298412,-2.714,https://xueqiu.com/S/SZ300268
8,603036,如通股份,51.68,50.83987679999999,-1.626,https://xueqiu.com/S/SH603036
17,600668,尖峰集团,19.31,19.309914000000003,-0.0,https://xueqiu.com/S/SH600668
16,000546,金圆股份,13.44,13.4400448,0.0,https://xueqiu.com/S/SZ000546
15,000632,三木集团,9.36,9.3599788,-0.0,https://xueqiu.com/S/SZ000632
14,002558,世纪游轮,81.44,81.44029800000001,0.0,https://xueqiu.com/S/SZ002558
13,000923,河北宣工,23.46,23.4600138,0.0,https://xueqiu.com/S/SZ000923
11,002581,未名医药,24.11,24.1100272,0.0,https://xueqiu.com/S/SZ002581
10,300517,海波重科,43.32,43.319969,-0.0,https://xueqiu.com/S/SZ300517
9,300561,汇金科技,81.73,81.73,0.0,https://xueqiu.com/S/SZ300561
7,300600,瑞特股份,64.79,64.79,0.0,https://xueqiu.com/S/SZ300600
6,002841,视源股份,73.48,73.48,0.0,https://xueqiu.com/S/SZ002841
4,603838,四通股份,21.53,21.5299355,-0.0,https://xueqiu.com/S/SH603838
3,603839,安正时尚,42.81,42.810054,0.0,https://xueqiu.com/S/SH603839
2,002222,福晶科技,16.2,16.200054,0.0,https://xueqiu.com/S/SZ002222
1,600802,福建水泥,14.27,14.2699831,-0.0,https://xueqiu.com/S/SH600802
19,002323,雅百特,21.77,21.769989499999998,-0.0,https://xueqiu.com/S/SZ002323
20,603066,音飞储存,58.64,58.63993380000001,-0.0,https://xueqiu.com/S/SH603066
