,code,name,high,close,highpercent,url
29,002599,盛通股份,46.85,43.0001417,-8.217,https://xueqiu.com/S/SZ002599
14,603668,天马科技,31.74,29.349970500000005,-7.53,https://xueqiu.com/S/SH603668
21,603929,亚翔集成,33.86,31.4500806,-7.117,https://xueqiu.com/S/SH603929
0,300588,熙菱信息,46.34,43.4301318,-6.279,https://xueqiu.com/S/SZ300588
28,603568,伟明环保,26.61,24.9698856,-6.164,https://xueqiu.com/S/SH603568
15,002835,同为股份,44.97,42.209826400000004,-6.138,https://xueqiu.com/S/SZ002835
25,603323,吴江银行,16.64,16.139927500000002,-3.005,https://xueqiu.com/S/SH603323
10,300128,锦富新材,19.67,19.0999524,-2.898,https://xueqiu.com/S/SZ300128
6,603337,杰克股份,39.46,38.3400082,-2.838,https://xueqiu.com/S/SH603337
22,300099,尤洛卡,11.36,11.050001,-2.729,https://xueqiu.com/S/SZ300099
11,002747,埃斯顿,42.48,41.340006599999995,-2.684,https://xueqiu.com/S/SZ002747
8,002166,莱茵生物,15.22,14.839939999999999,-2.497,https://xueqiu.com/S/SZ002166
19,601116,三江购物,41.72,40.7201308,-2.397,https://xueqiu.com/S/SH601116
3,603689,皖天然气,20.23,19.8499821,-1.878,https://xueqiu.com/S/SH603689
9,300433,蓝思科技,29.46,29.090042800000003,-1.256,https://xueqiu.com/S/SZ300433
13,601128,常熟银行,11.66,11.579970000000001,-0.686,https://xueqiu.com/S/SH601128
1,002839,张家港行,14.73,14.729937300000001,-0.0,https://xueqiu.com/S/SZ002839
27,300427,红相电力,23.52,23.519924200000002,-0.0,https://xueqiu.com/S/SZ300427
26,600608,上海科技,15.66,15.660012799999999,0.0,https://xueqiu.com/S/SH600608
24,603017,中衡设计,23.25,23.2499834,-0.0,https://xueqiu.com/S/SH603017
23,000159,国际实业,9.85,9.850012,0.0,https://xueqiu.com/S/SZ000159
18,600650,锦江投资,24.52,24.5198916,-0.0,https://xueqiu.com/S/SH600650
20,000019,深深宝Ａ,16.68,16.6799416,-0.0,https://xueqiu.com/S/SZ000019
5,002807,江阴银行,14.75,14.7500613,0.0,https://xueqiu.com/S/SZ002807
17,600630,龙头股份,16.46,16.4600392,0.0,https://xueqiu.com/S/SH600630
16,603628,清源股份,22.92,22.920040399999998,0.0,https://xueqiu.com/S/SH603628
4,603165,荣晟环保,41.56,41.559889000000005,-0.0,https://xueqiu.com/S/SH603165
12,300589,江龙船艇,50.73,50.7301552,0.0,https://xueqiu.com/S/SZ300589
7,300599,雄塑科技,28.74,28.7401257,0.0,https://xueqiu.com/S/SZ300599
2,300591,万里马,28.62,28.619918400000003,-0.0,https://xueqiu.com/S/SZ300591
30,600701,工大高新,15.98,15.9799487,-0.0,https://xueqiu.com/S/SH600701
