,code,name,high,close,highpercent,url
10,600847,万里股份,23.55,22.5899051,-4.077,https://xueqiu.com/S/SH600847
3,300424,航新科技,63.23,61.18975919999999,-3.227,https://xueqiu.com/S/SZ300424
1,300565,科信技术,37.37,36.2198331,-3.078,https://xueqiu.com/S/SZ300565
0,300299,富春通信,23.66,23.160032100000002,-2.113,https://xueqiu.com/S/SZ300299
2,603032,德新交运,35.35,35.350143200000005,0.0,https://xueqiu.com/S/SH603032
4,002352,顺丰控股,60.73,60.7298958,-0.0,https://xueqiu.com/S/SZ002352
5,002807,江阴银行,19.5,19.499985900000002,-0.0,https://xueqiu.com/S/SZ002807
6,300556,丝路视觉,51.07,51.0702142,0.0,https://xueqiu.com/S/SZ300556
7,002077,大港股份,17.09,17.0899596,-0.0,https://xueqiu.com/S/SZ002077
8,300586,美联新材,43.48,43.4798376,-0.0,https://xueqiu.com/S/SZ300586
9,002208,合肥城建,17.6,17.6,0.0,https://xueqiu.com/S/SZ002208
11,600319,亚星化学,11.41,11.4100073,0.0,https://xueqiu.com/S/SH600319
12,000595,宝塔实业,9.6,9.6000318,0.0,https://xueqiu.com/S/SZ000595
