,code,name,high,close,highpercent,url
10,600701,工大高新,16.57,15.6500508,-5.552,https://xueqiu.com/S/SH600701
17,002739,万达院线,61.11,58.350275499999995,-4.516,https://xueqiu.com/S/SZ002739
18,002642,荣之联,21.33,20.4000251,-4.36,https://xueqiu.com/S/SZ002642
15,002579,中京电子,15.05,14.4800064,-3.787,https://xueqiu.com/S/SZ002579
9,300571,平治信息,122.46,117.9997803,-3.642,https://xueqiu.com/S/SZ300571
0,603628,清源股份,24.64,24.599903999999995,-0.163,https://xueqiu.com/S/SH603628
6,300603,立昂技术,40.1,40.100103000000004,0.0,https://xueqiu.com/S/SZ300603
7,300376,易事特,45.52,45.52006900000001,0.0,https://xueqiu.com/S/SZ300376
8,002136,安 纳 达,20.06,20.0599872,-0.0,https://xueqiu.com/S/SZ002136
4,600319,亚星化学,13.81,13.81002,0.0,https://xueqiu.com/S/SH600319
3,002839,张家港行,19.35,19.3500554,0.0,https://xueqiu.com/S/SZ002839
11,300468,四方精创,57.44,57.4399112,-0.0,https://xueqiu.com/S/SZ300468
12,603218,日月股份,59.15,59.150226200000006,0.0,https://xueqiu.com/S/SH603218
13,300151,昌红科技,11.84,11.8399812,-0.0,https://xueqiu.com/S/SZ300151
14,600456,宝钛股份,22.12,22.119994500000004,-0.0,https://xueqiu.com/S/SH600456
2,603881,数据港,46.96,46.95985379999999,-0.0,https://xueqiu.com/S/SH603881
16,002758,华通医药,29.3,29.300003999999998,0.0,https://xueqiu.com/S/SZ002758
1,000617,中油资本,22.1,22.1000045,0.0,https://xueqiu.com/S/SZ000617
5,603838,四通股份,25.8,25.799924499999996,-0.0,https://xueqiu.com/S/SH603838
19,000881,中广核技,28.03,28.0300384,0.0,https://xueqiu.com/S/SZ000881
