,code,name,high,close,highpercent,url
8,600830,香溢融通,13.09,12.470010000000002,-4.736,https://xueqiu.com/S/SH600830
7,002677,浙江美大,13.39,12.7799604,-4.556,https://xueqiu.com/S/SZ002677
6,603228,景旺电子,52.45,50.189875199999996,-4.309,https://xueqiu.com/S/SH603228
4,600249,两面针,12.46,12.0500215,-3.29,https://xueqiu.com/S/SH600249
1,002207,准油股份,19.6,19.0499364,-2.806,https://xueqiu.com/S/SZ002207
21,300427,红相电力,25.87,25.3799616,-1.894,https://xueqiu.com/S/SZ300427
19,000548,湖南投资,9.36,9.3599788,-0.0,https://xueqiu.com/S/SZ000548
18,603838,四通股份,19.6,19.6000398,0.0,https://xueqiu.com/S/SH603838
17,002845,同兴达,65.71,65.7098182,-0.0,https://xueqiu.com/S/SZ002845
16,603429,集友股份,67.79,67.7899185,-0.0,https://xueqiu.com/S/SH603429
15,600714,金瑞矿业,16.39,16.39,0.0,https://xueqiu.com/S/SH600714
14,601968,宝钢包装,10.34,10.34,0.0,https://xueqiu.com/S/SH601968
13,603003,龙宇燃油,22.77,22.77,0.0,https://xueqiu.com/S/SH603003
0,000159,国际实业,10.84,10.8400235,0.0,https://xueqiu.com/S/SZ000159
11,603799,华友钴业,45.07,45.0698679,-0.0,https://xueqiu.com/S/SH603799
20,600540,新赛股份,8.7,8.699971699999999,-0.0,https://xueqiu.com/S/SH600540
9,002820,桂发祥,47.04,47.039848400000004,-0.0,https://xueqiu.com/S/SZ002820
5,000810,创维数字,14.59,14.589978,-0.0,https://xueqiu.com/S/SZ000810
3,002807,江阴银行,16.23,16.230015,0.0,https://xueqiu.com/S/SZ002807
2,300099,尤洛卡,12.16,12.159972500000002,-0.0,https://xueqiu.com/S/SZ300099
12,603126,中材节能,13.97,13.97,0.0,https://xueqiu.com/S/SH603126
10,603958,哈森股份,30.12,30.1199166,-0.0,https://xueqiu.com/S/SH603958
