,code,name,high,close,highpercent,url
1,300268,万福生科,40.48,38.079904,-5.929,https://xueqiu.com/S/SZ300268
16,300561,汇金科技,83.59,82.49018459999999,-1.316,https://xueqiu.com/S/SZ300561
5,002807,江阴银行,21.45,21.40008,-0.233,https://xueqiu.com/S/SZ002807
4,300278,华昌达,22.64,22.599926999999997,-0.177,https://xueqiu.com/S/SZ300278
0,600319,亚星化学,12.55,12.549973099999999,-0.0,https://xueqiu.com/S/SH600319
15,600908,无锡银行,13.81,13.81002,0.0,https://xueqiu.com/S/SH600908
14,603444,吉比特,296.13,296.131,0.0,https://xueqiu.com/S/SH603444
13,002543,万和电气,19.69,19.689999999999998,-0.0,https://xueqiu.com/S/SZ002543
12,300240,飞力达,12.16,12.159972500000002,-0.0,https://xueqiu.com/S/SZ300240
11,601128,常熟银行,12.95,12.949942499999999,-0.0,https://xueqiu.com/S/SH601128
9,002571,德力股份,16.86,16.859934,-0.0,https://xueqiu.com/S/SZ002571
17,603838,四通股份,23.45,23.4500812,0.0,https://xueqiu.com/S/SH603838
8,000657,中钨高新,15.74,15.7399983,-0.0,https://xueqiu.com/S/SZ000657
7,600233,圆通速递,29.27,29.2699356,-0.0,https://xueqiu.com/S/SH600233
6,002468,申通快递,31.79,31.79,0.0,https://xueqiu.com/S/SZ002468
3,002841,视源股份,87.12,87.12,0.0,https://xueqiu.com/S/SZ002841
2,002352,顺丰控股,66.8,66.7999635,-0.0,https://xueqiu.com/S/SZ002352
10,000617,中油资本,20.09,20.090017200000002,0.0,https://xueqiu.com/S/SZ000617
18,603323,吴江银行,18.13,18.1299776,-0.0,https://xueqiu.com/S/SH603323
