,code,name,high,close,highpercent,url
19,000617,中油资本,23.29,21.7699578,-6.527,https://xueqiu.com/S/SZ000617
9,002842,翔鹭钨业,59.95,57.240260000000006,-4.52,https://xueqiu.com/S/SZ002842
1,300327,中颖电子,40.88,39.21011719999999,-4.085,https://xueqiu.com/S/SZ300327
10,300568,星源材质,78.96,77.3996562,-1.976,https://xueqiu.com/S/SZ300568
6,300390,天华超净,13.07,12.830043600000002,-1.836,https://xueqiu.com/S/SZ300390
13,300487,蓝晓科技,62.32,61.789854500000004,-0.851,https://xueqiu.com/S/SZ300487
17,300304,云意电气,17.07,17.0699824,-0.0,https://xueqiu.com/S/SZ300304
16,300422,博世科,44.02,44.019999000000006,-0.0,https://xueqiu.com/S/SZ300422
15,603031,安德利,56.86,56.86003379999999,0.0,https://xueqiu.com/S/SH603031
14,600209,罗顿发展,13.59,13.589939999999999,-0.0,https://xueqiu.com/S/SH600209
12,300073,当升科技,58.89,58.89025219999999,0.0,https://xueqiu.com/S/SZ300073
2,300591,万里马,26.39,26.389959599999997,-0.0,https://xueqiu.com/S/SZ300591
18,002579,中京电子,15.07,15.07,0.0,https://xueqiu.com/S/SZ002579
8,600363,联创光电,19.4,19.3999428,-0.0,https://xueqiu.com/S/SH600363
7,300432,富临精工,24.84,24.840032199999996,0.0,https://xueqiu.com/S/SZ300432
5,300346,南大光电,31.14,31.1398676,-0.0,https://xueqiu.com/S/SZ300346
4,300612,宣亚国际,72.93,72.93,0.0,https://xueqiu.com/S/SZ300612
3,300340,科恒股份,55.22,55.22,0.0,https://xueqiu.com/S/SZ300340
11,603007,花王股份,60.48,60.480199199999994,0.0,https://xueqiu.com/S/SH603007
0,002805,丰元股份,51.45,51.449806200000005,-0.0,https://xueqiu.com/S/SZ002805
