,code,name,high,close,highpercent,url
2,002205,国统股份,33.52,31.910012199999997,-4.803,https://xueqiu.com/S/SZ002205
9,000498,山东路桥,9.46,9.060014,-4.228,https://xueqiu.com/S/SZ000498
12,000755,山西三维,8.94,8.5799955,-4.027,https://xueqiu.com/S/SZ000755
0,000615,京汉股份,11.25,10.840014899999998,-3.644,https://xueqiu.com/S/SZ000615
7,300103,达刚路机,23.34,22.8000412,-2.313,https://xueqiu.com/S/SZ300103
4,000885,同力水泥,36.41,36.360019,-0.137,https://xueqiu.com/S/SZ000885
14,002807,江阴银行,11.08,11.080021000000002,0.0,https://xueqiu.com/S/SZ002807
13,000880,潍柴重机,16.59,16.5899604,-0.0,https://xueqiu.com/S/SZ000880
11,300311,任子行,21.91,21.910008,0.0,https://xueqiu.com/S/SZ300311
10,603393,新天然气,52.23,52.2298992,-0.0,https://xueqiu.com/S/SH603393
8,002824,和胜股份,47.59,47.5898934,-0.0,https://xueqiu.com/S/SZ002824
6,002514,宝馨科技,9.57,9.569999999999999,-0.0,https://xueqiu.com/S/SZ002514
5,300596,利安隆,46.42,46.42,0.0,https://xueqiu.com/S/SZ300596
3,002700,新疆浩源,13.88,13.879980799999998,-0.0,https://xueqiu.com/S/SZ002700
1,603022,新通联,25.36,25.360071,0.0,https://xueqiu.com/S/SH603022
15,002839,张家港行,11.06,11.060025000000001,0.0,https://xueqiu.com/S/SZ002839
16,600449,宁夏建材,13.75,13.75,0.0,https://xueqiu.com/S/SH600449
