,code,outstanding,liquid_assets,totals,totalAssets,growth
2781,600213,2.2,20.218,2.2,3238141.3471999997,73.78
2782,300175,4.62,41.118,4.71,1120346.685,80.34
2783,002391,2.2,28.490000000000002,3.59,4950215.588500001,41.93
2784,600610,3.76,72.94399999999999,10.71,2902068.5039999997,-40.93
2785,002347,3.26,61.7444,4.49,3313223.6334,-45.99
2786,600888,6.41,39.101,6.41,6163354.6,50.66
2787,002437,21.48,623.1348,21.98,24476480.526300002,-66.74
2788,300401,0.97,33.6299,1.81,3041066.9155,-4.85
2789,600099,2.19,19.4691,2.19,535105.1020000001,89.99
2790,000859,7.39,33.1072,7.39,898971.6288000001,34.37
2791,600063,15.2,66.576,16.46,3699868.3878,20.55
2792,600307,62.63,159.7065,62.63,9662982.112499999,38.82
2793,000026,3.57,42.2331,4.39,4721020.6953,26.46
2794,000548,4.99,41.3671,4.99,1914538.6094999998,27.86
2795,600759,15.81,327.89939999999996,22.64,32041233.881199997,-57.43
2796,002544,5.11,130.2028,5.16,8504998.7568,13.11
