,code,name,指标,count,url
0,300591,万里马,10.01,1,https://xueqiu.com/S/SZ300591
1,002397,梦洁股份,7.07,2,https://xueqiu.com/S/SZ002397
2,002769,普路通,6.19,3,https://xueqiu.com/S/SZ002769
3,300527,华舟应急,5.11,3,https://xueqiu.com/S/SZ300527
4,002683,宏大爆破,4.94,3,https://xueqiu.com/S/SZ002683
5,300441,鲍斯股份,4.83,4,https://xueqiu.com/S/SZ300441
6,603166,福达股份,4.51,3,https://xueqiu.com/S/SH603166
7,002797,第一创业,4.5,4,https://xueqiu.com/S/SZ002797
8,000582,北部湾港,4.48,3,https://xueqiu.com/S/SZ000582
9,603159,上海亚虹,4.45,3,https://xueqiu.com/S/SH603159
10,002515,金字火腿,4.43,4,https://xueqiu.com/S/SZ002515
11,002016,世荣兆业,4.29,4,https://xueqiu.com/S/SZ002016
12,600353,旭光股份,3.99,5,https://xueqiu.com/S/SH600353
13,300455,康拓红外,3.83,5,https://xueqiu.com/S/SZ300455
14,600671,天目药业,3.6,3,https://xueqiu.com/S/SH600671
15,002632,道明光学,3.53,5,https://xueqiu.com/S/SZ002632
16,002824,和胜股份,3.48,6,https://xueqiu.com/S/SZ002824
17,000818,方大化工,3.09,5,https://xueqiu.com/S/SZ000818
18,300052,中青宝,2.88,6,https://xueqiu.com/S/SZ300052
19,601375,中原证券,2.83,7,https://xueqiu.com/S/SH601375
20,603663,三祥新材,2.83,6,https://xueqiu.com/S/SH603663
21,600097,开创国际,2.6,7,https://xueqiu.com/S/SH600097
22,603186,华正新材,2.5,7,https://xueqiu.com/S/SH603186
23,603037,凯众股份,2.02,4,https://xueqiu.com/S/SH603037
24,300588,熙菱信息,1.81,7,https://xueqiu.com/S/SZ300588
25,002825,纳尔股份,1.76,7,https://xueqiu.com/S/SZ002825
26,002361,神剑股份,1.6,13,https://xueqiu.com/S/SZ002361
27,002841,视源股份,1.54,5,https://xueqiu.com/S/SZ002841
28,603668,天马科技,1.49,9,https://xueqiu.com/S/SH603668
29,002430,杭氧股份,1.48,10,https://xueqiu.com/S/SZ002430
30,300595,欧普康视,1.34,7,https://xueqiu.com/S/SZ300595
31,600698,湖南天雁,0.81,25,https://xueqiu.com/S/SH600698
