,code,outstanding,liquid_assets,totals,totalAssets,growth
1460,300078,2.74,78.638,4.49,6702031.749,-22.06
1461,300449,0.72,31.276799999999998,1.44,3892786.5479999995,11.51
1462,000403,1.88,64.2584,2.73,4519237.558599999,-10.53
1463,002411,2.81,71.093,15.32,42663137.0,8.3
1464,002173,2.06,43.589600000000004,4.57,9615578.1956,-9.92
1465,000061,16.92,219.79080000000002,16.97,21899279.1825,-8.55
1466,300140,2.42,46.633399999999995,3.45,2237535.4719,-14.27
1467,002251,7.08,108.8196,8.64,20166698.495599996,1.95
1468,002092,9.74,110.2568,21.46,51143997.72,18.37
1469,300440,1.01,34.1481,2.24,5116388.1846,-21.83
1470,600667,11.91,113.8596,21.06,4839992.9196,-20.61
1471,002404,3.99,36.9873,5.21,2014216.1909999999,-1.83
1472,603018,1.26,47.489399999999996,2.08,14682955.865399998,-1.86
1473,600171,6.74,101.9088,6.74,3144057.4872,-6.02
1474,002109,3.58,28.0314,7.02,1311827.7861000001,5.36
1475,000600,10.9,101.58800000000001,17.92,25780149.86,0.64
1476,300105,5.13,50.274,5.13,2566704.8680000002,-9.39
1477,600108,19.47,113.3154,19.47,4411557.439200001,-2.23
1478,600070,3.57,48.5877,5.22,2630674.7224,2.28
1479,300019,2.17,39.472300000000004,3.31,1709184.0596,-27.05
1480,002331,2.78,46.2036,3.5,3038405.7426000005,3.79
1481,002206,3.44,63.3304,4.87,8157521.6275,0.6
1482,002515,3.62,70.6624,6.11,2797604.0576,-16.55
1483,300079,12.08,99.056,13.78,3250777.2499999995,-13.41
1484,000950,5.99,54.8684,5.99,5144951.6104,-3.71
1485,600537,11.76,90.3168,11.76,4971175.68,-1.82
1486,000815,3.17,73.16359999999999,6.95,6207367.384799999,-19.58
1487,002100,7.09,68.2767,9.63,3931102.0719000003,-4.05
1488,600622,5.14,83.93619999999999,6.83,20216058.264999997,-0.92
1489,002514,3.56,37.0596,5.54,1576043.2905,-11.14
1490,600829,5.8,94.076,5.8,6985873.873199999,-2.96
1491,603606,1.39,22.4624,3.11,3173348.2496,2.29
1492,600561,2.37,36.663900000000005,2.37,9229084.865,-14.54
1493,300143,0.93,25.1007,2.88,6980522.483399999,5.08
1494,000726,5.61,69.95670000000001,9.23,11120743.630700001,-0.8
1495,000777,3.83,90.6944,3.83,4229552.0512,-5.41
1496,000096,5.11,74.91260000000001,5.28,3296639.4994,8.12
1497,002444,10.12,182.5648,10.75,12820904.0652,-14.69
1498,300077,5.38,104.4258,5.64,6077772.554400001,-18.86
1499,002252,43.21,920.8050999999999,49.7,27798306.417799994,-0.89
1500,603678,0.81,70.9479,1.81,25806264.1871,-14.56
1501,300446,0.75,32.625,1.23,2238045.42,-17.79
1502,600958,31.26,522.3546,62.15,328793613.18,-7.48
1503,000616,14.3,82.65400000000001,14.3,5154338.8714000005,-8.82
1504,600986,4.52,81.0436,8.69,15145037.273300001,-14.05
1505,600009,10.93,291.83099999999996,19.27,70466660.02499999,3.52
1506,600179,3.9,60.800999999999995,10.62,10219430.2092,-2.95
1507,601128,2.22,28.948800000000002,22.23,163672955.28,-10.58
1508,002474,4.41,72.765,6.22,3352814.52,-20.18
1509,002714,3.17,78.8379,10.34,27171650.1075,5.87
1510,601222,14.23,128.78150000000002,17.64,10469339.8265,-14.7
1511,002609,3.01,53.87899999999999,6.66,2268133.702,-8.83
1512,600653,17.46,76.82400000000001,19.46,3987967.7640000004,-10.23
1513,603518,0.56,17.0744,1.48,4624714.6628,0.56
