,code,name,指标,count,url
0,603628,清源股份,3.53,1,https://xueqiu.com/S/SH603628
1,603609,禾丰牧业,2.74,2,https://xueqiu.com/S/SH603609
2,603663,三祥新材,2.26,2,https://xueqiu.com/S/SH603663
3,002406,远东传动,2.22,4,https://xueqiu.com/S/SZ002406
4,300355,蒙草生态,1.97,6,https://xueqiu.com/S/SZ300355
5,002560,通达股份,1.93,7,https://xueqiu.com/S/SZ002560
6,000885,同力水泥,1.91,18,https://xueqiu.com/S/SZ000885
7,300383,光环新网,1.83,4,https://xueqiu.com/S/SZ300383
8,002839,张家港行,1.77,6,https://xueqiu.com/S/SZ002839
9,601858,中国科传,1.72,9,https://xueqiu.com/S/SH601858
10,600241,时代万恒,1.7,4,https://xueqiu.com/S/SH600241
11,002395,双象股份,1.63,9,https://xueqiu.com/S/SZ002395
12,002361,神剑股份,1.6,5,https://xueqiu.com/S/SZ002361
13,603033,三维股份,1.55,5,https://xueqiu.com/S/SH603033
14,603886,元祖股份,1.54,9,https://xueqiu.com/S/SH603886
15,002591,恒大高新,1.54,5,https://xueqiu.com/S/SZ002591
16,603918,金桥信息,1.53,5,https://xueqiu.com/S/SH603918
17,000561,烽火电子,1.52,5,https://xueqiu.com/S/SZ000561
18,603823,百合花,1.49,3,https://xueqiu.com/S/SH603823
19,000819,岳阳兴长,1.48,6,https://xueqiu.com/S/SZ000819
20,300265,通光线缆,1.43,5,https://xueqiu.com/S/SZ300265
21,300345,红宇新材,1.41,11,https://xueqiu.com/S/SZ300345
22,002046,轴研科技,1.39,16,https://xueqiu.com/S/SZ002046
23,603929,亚翔集成,1.39,7,https://xueqiu.com/S/SH603929
24,002552,宝鼎科技,1.38,9,https://xueqiu.com/S/SZ002552
25,300582,英飞特,1.32,6,https://xueqiu.com/S/SZ300582
26,002840,华统股份,1.19,11,https://xueqiu.com/S/SZ002840
27,002451,摩恩电气,1.12,7,https://xueqiu.com/S/SZ002451
28,603358,华达科技,1.12,5,https://xueqiu.com/S/SH603358
29,300268,万福生科,1.09,3,https://xueqiu.com/S/SZ300268
30,603900,通灵珠宝,1.08,4,https://xueqiu.com/S/SH603900
31,603035,常熟汽饰,1.0,6,https://xueqiu.com/S/SH603035
32,300580,贝斯特,0.99,4,https://xueqiu.com/S/SZ300580
