,code,name,指标,count,url
0,300356,光一科技,9.99,1,https://xueqiu.com/S/SZ300356
1,002846,英联股份,9.99,1,https://xueqiu.com/S/SZ002846
2,002019,亿帆医药,9.99,1,https://xueqiu.com/S/SZ002019
3,002737,葵花药业,9.58,2,https://xueqiu.com/S/SZ002737
4,002340,格林美,4.97,4,https://xueqiu.com/S/SZ002340
5,300061,康耐特,4.76,4,https://xueqiu.com/S/SZ300061
6,603838,四通股份,4.35,3,https://xueqiu.com/S/SH603838
7,000663,永安林业,3.74,5,https://xueqiu.com/S/SZ000663
8,002728,特一药业,3.73,5,https://xueqiu.com/S/SZ002728
9,002192,融捷股份,3.51,6,https://xueqiu.com/S/SZ002192
10,002352,鼎泰新材,3.46,6,https://xueqiu.com/S/SZ002352
11,603877,太平鸟,3.43,7,https://xueqiu.com/S/SH603877
12,600711,盛屯矿业,3.37,7,https://xueqiu.com/S/SH600711
13,002730,电光科技,3.34,7,https://xueqiu.com/S/SZ002730
14,002842,翔鹭钨业,2.94,10,https://xueqiu.com/S/SZ002842
15,002323,雅百特,2.91,15,https://xueqiu.com/S/SZ002323
16,603416,信捷电气,2.69,8,https://xueqiu.com/S/SH603416
17,300602,飞荣达,2.64,9,https://xueqiu.com/S/SZ300602
18,603799,华友钴业,2.63,11,https://xueqiu.com/S/SH603799
19,603322,超讯通信,2.58,13,https://xueqiu.com/S/SH603322
20,000546,金圆股份,2.54,11,https://xueqiu.com/S/SZ000546
21,603993,洛阳钼业,2.52,13,https://xueqiu.com/S/SH603993
22,002826,易明医药,2.48,12,https://xueqiu.com/S/SZ002826
23,603839,安正时尚,2.41,12,https://xueqiu.com/S/SH603839
24,300599,雄塑科技,2.26,13,https://xueqiu.com/S/SZ300599
25,002824,和胜股份,2.14,21,https://xueqiu.com/S/SZ002824
