,code,name,指标,count,url
0,600815,厦工股份,10.06,1,https://xueqiu.com/S/SH600815
1,600802,福建水泥,10.02,1,https://xueqiu.com/S/SH600802
2,603066,音飞储存,10.0,1,https://xueqiu.com/S/SH603066
3,300517,海波重科,6.83,3,https://xueqiu.com/S/SZ300517
4,002472,双环传动,6.46,3,https://xueqiu.com/S/SZ002472
5,000632,三木集团,6.11,2,https://xueqiu.com/S/SZ000632
6,001896,豫能控股,4.75,3,https://xueqiu.com/S/SZ001896
7,000546,金圆股份,4.56,3,https://xueqiu.com/S/SZ000546
8,600668,尖峰集团,4.13,5,https://xueqiu.com/S/SH600668
9,603838,四通股份,4.05,6,https://xueqiu.com/S/SH603838
10,000923,河北宣工,3.81,6,https://xueqiu.com/S/SZ000923
11,002487,大金重工,3.77,6,https://xueqiu.com/S/SZ002487
12,002581,未名医药,3.65,6,https://xueqiu.com/S/SZ002581
13,600984,建设机械,3.59,9,https://xueqiu.com/S/SH600984
14,002662,京威股份,3.42,4,https://xueqiu.com/S/SZ002662
15,002491,通鼎互联,3.4,4,https://xueqiu.com/S/SZ002491
16,002841,视源股份,3.24,6,https://xueqiu.com/S/SZ002841
17,300561,汇金科技,2.81,9,https://xueqiu.com/S/SZ300561
18,300600,瑞特股份,2.76,10,https://xueqiu.com/S/SZ300600
19,600720,祁连山,2.63,11,https://xueqiu.com/S/SH600720
20,603839,安正时尚,2.55,17,https://xueqiu.com/S/SH603839
21,002558,世纪游轮,2.44,11,https://xueqiu.com/S/SZ002558
22,002222,福晶科技,2.38,14,https://xueqiu.com/S/SZ002222
23,000789,万年青,2.32,14,https://xueqiu.com/S/SZ000789
24,600801,华新水泥,2.28,14,https://xueqiu.com/S/SH600801
25,002323,雅百特,2.22,10,https://xueqiu.com/S/SZ002323
26,002838,道恩股份,2.19,17,https://xueqiu.com/S/SZ002838
