,code,name,指标,count,url
0,000737,南风化工,10.04,1,https://xueqiu.com/S/SZ000737
1,002514,宝馨科技,10.0,1,https://xueqiu.com/S/SZ002514
2,600127,金健米业,9.96,1,https://xueqiu.com/S/SH600127
3,002807,江阴银行,9.24,2,https://xueqiu.com/S/SZ002807
4,000905,厦门港务,7.29,2,https://xueqiu.com/S/SZ000905
5,000880,潍柴重机,5.67,2,https://xueqiu.com/S/SZ000880
6,002839,张家港行,5.32,4,https://xueqiu.com/S/SZ002839
7,603393,新天然气,5.09,5,https://xueqiu.com/S/SH603393
8,601008,连云港,4.4,5,https://xueqiu.com/S/SH601008
9,603022,新通联,4.3,4,https://xueqiu.com/S/SH603022
10,000425,徐工机械,4.15,3,https://xueqiu.com/S/SZ000425
11,600217,中再资环,3.95,6,https://xueqiu.com/S/SH600217
12,600449,宁夏建材,3.72,4,https://xueqiu.com/S/SH600449
13,600888,新疆众和,3.45,4,https://xueqiu.com/S/SH600888
14,300596,利安隆,3.44,5,https://xueqiu.com/S/SZ300596
15,600819,耀皮玻璃,3.43,5,https://xueqiu.com/S/SH600819
16,002700,新疆浩源,3.32,8,https://xueqiu.com/S/SZ002700
17,600331,宏达股份,3.3,8,https://xueqiu.com/S/SH600331
18,600307,酒钢宏兴,3.25,6,https://xueqiu.com/S/SH600307
19,600720,祁连山,3.19,9,https://xueqiu.com/S/SH600720
20,000789,万年青,2.87,10,https://xueqiu.com/S/SZ000789
21,000877,天山股份,2.64,8,https://xueqiu.com/S/SZ000877
22,300311,任子行,2.62,13,https://xueqiu.com/S/SZ300311
23,600425,青松建化,2.5,13,https://xueqiu.com/S/SH600425
24,000672,上峰水泥,2.39,19,https://xueqiu.com/S/SZ000672
