,code,name,指标,count,url
0,002783,凯龙股份,5.68,2,https://xueqiu.com/S/SZ002783
1,000980,金马股份,5.46,3,https://xueqiu.com/S/SZ000980
2,002389,南洋科技,3.73,5,https://xueqiu.com/S/SZ002389
3,300603,立昂技术,3.56,8,https://xueqiu.com/S/SZ300603
4,603696,安记食品,3.48,6,https://xueqiu.com/S/SH603696
5,603966,法兰泰克,3.46,8,https://xueqiu.com/S/SH603966
6,002798,帝王洁具,2.99,11,https://xueqiu.com/S/SZ002798
7,603881,数据港,2.93,11,https://xueqiu.com/S/SH603881
8,300615,欣天科技,2.63,10,https://xueqiu.com/S/SZ300615
9,603628,清源股份,2.43,13,https://xueqiu.com/S/SH603628
10,603323,吴江银行,2.41,14,https://xueqiu.com/S/SH603323
