,code,name,指标,count,url
0,603040,新坐标,10.0,1,https://xueqiu.com/S/SH603040
1,300607,拓斯达,5.73,2,https://xueqiu.com/S/SZ300607
2,300028,金亚科技,5.23,5,https://xueqiu.com/S/SZ300028
3,300123,太阳鸟,4.98,4,https://xueqiu.com/S/SZ300123
4,002826,易明医药,4.83,3,https://xueqiu.com/S/SZ002826
5,000591,太阳能,4.54,4,https://xueqiu.com/S/SZ000591
6,002458,益生股份,3.96,6,https://xueqiu.com/S/SZ002458
7,600463,空港股份,3.42,5,https://xueqiu.com/S/SH600463
8,603823,百合花,3.41,7,https://xueqiu.com/S/SH603823
9,002352,顺丰控股,3.41,6,https://xueqiu.com/S/SZ002352
10,300424,航新科技,3.29,7,https://xueqiu.com/S/SZ300424
11,600082,海泰发展,3.22,7,https://xueqiu.com/S/SH600082
12,002174,游族网络,3.19,7,https://xueqiu.com/S/SZ002174
13,603298,杭叉集团,2.91,12,https://xueqiu.com/S/SH603298
14,300573,兴齐眼药,2.8,9,https://xueqiu.com/S/SZ300573
15,002846,英联股份,2.56,11,https://xueqiu.com/S/SZ002846
16,002234,民和股份,2.51,11,https://xueqiu.com/S/SZ002234
