,code,name,指标,count,url
0,002469,三维工程,10.06,1,https://xueqiu.com/S/SZ002469
1,002709,天赐材料,10.0,1,https://xueqiu.com/S/SZ002709
2,603568,伟明环保,10.0,1,https://xueqiu.com/S/SH603568
3,300591,万里马,9.99,1,https://xueqiu.com/S/SZ300591
4,603869,北部湾旅,9.99,1,https://xueqiu.com/S/SH603869
5,002667,鞍重股份,9.52,2,https://xueqiu.com/S/SZ002667
6,002585,双星新材,8.04,2,https://xueqiu.com/S/SZ002585
7,002248,华东数控,7.92,2,https://xueqiu.com/S/SZ002248
8,603703,盛洋科技,6.9,2,https://xueqiu.com/S/SH603703
9,002288,超华科技,5.95,3,https://xueqiu.com/S/SZ002288
10,300595,欧普康视,5.86,2,https://xueqiu.com/S/SZ300595
11,300187,永清环保,5.77,3,https://xueqiu.com/S/SZ300187
12,300247,乐金健康,5.66,2,https://xueqiu.com/S/SZ300247
13,002342,巨力索具,5.43,4,https://xueqiu.com/S/SZ002342
14,002430,杭氧股份,5.15,5,https://xueqiu.com/S/SZ002430
15,000637,茂化实华,5.07,4,https://xueqiu.com/S/SZ000637
16,603039,泛微网络,4.66,3,https://xueqiu.com/S/SH603039
17,002800,天顺股份,4.61,3,https://xueqiu.com/S/SZ002800
18,300127,银河磁体,4.59,3,https://xueqiu.com/S/SZ300127
19,000877,天山股份,4.18,5,https://xueqiu.com/S/SZ000877
20,600097,开创国际,3.91,4,https://xueqiu.com/S/SH600097
21,600307,酒钢宏兴,3.63,6,https://xueqiu.com/S/SH600307
22,300292,吴通控股,3.48,5,https://xueqiu.com/S/SZ300292
23,600545,新疆城建,3.42,7,https://xueqiu.com/S/SH600545
24,603022,新通联,3.42,5,https://xueqiu.com/S/SH603022
25,002307,北新路桥,3.28,7,https://xueqiu.com/S/SZ002307
26,300176,鸿特精密,3.15,7,https://xueqiu.com/S/SZ300176
27,002265,西仪股份,3.08,9,https://xueqiu.com/S/SZ002265
28,600425,青松建化,2.88,12,https://xueqiu.com/S/SH600425
29,300209,天泽信息,2.58,11,https://xueqiu.com/S/SZ300209
30,002302,西部建设,2.22,18,https://xueqiu.com/S/SZ002302
