,code,name,指标,count,url
0,000973,佛塑科技,6.15,2,https://xueqiu.com/S/SZ000973
1,300304,云意电气,4.52,6,https://xueqiu.com/S/SZ300304
2,300432,富临精工,4.21,4,https://xueqiu.com/S/SZ300432
3,600363,联创光电,4.04,5,https://xueqiu.com/S/SH600363
4,300340,科恒股份,3.83,6,https://xueqiu.com/S/SZ300340
5,300346,南大光电,3.53,6,https://xueqiu.com/S/SZ300346
6,002805,丰元股份,3.52,6,https://xueqiu.com/S/SZ002805
7,603031,安德利,3.44,6,https://xueqiu.com/S/SH603031
8,002579,中京电子,3.37,7,https://xueqiu.com/S/SZ002579
9,600209,罗顿发展,3.06,6,https://xueqiu.com/S/SH600209
10,300422,博世科,3.02,7,https://xueqiu.com/S/SZ300422
11,603007,花王股份,2.94,8,https://xueqiu.com/S/SH603007
12,300612,宣亚国际,2.93,9,https://xueqiu.com/S/SZ300612
13,300073,当升科技,2.67,11,https://xueqiu.com/S/SZ300073
14,300591,万里马,2.65,9,https://xueqiu.com/S/SZ300591
