,code,name,指标,count,url
0,300606,金太阳,10.01,1,https://xueqiu.com/S/SZ300606
1,002352,顺丰控股,10.0,1,https://xueqiu.com/S/SZ002352
2,600908,无锡银行,4.89,3,https://xueqiu.com/S/SH600908
3,002571,德力股份,4.62,4,https://xueqiu.com/S/SZ002571
4,002543,万和电气,3.99,5,https://xueqiu.com/S/SZ002543
5,000657,中钨高新,3.76,7,https://xueqiu.com/S/SZ000657
6,300240,飞力达,3.71,4,https://xueqiu.com/S/SZ300240
7,000617,中油资本,3.71,4,https://xueqiu.com/S/SZ000617
8,601128,常熟银行,3.62,7,https://xueqiu.com/S/SH601128
9,600319,亚星化学,3.53,7,https://xueqiu.com/S/SH600319
10,000839,中信国安,3.31,7,https://xueqiu.com/S/SZ000839
11,600233,圆通速递,3.29,9,https://xueqiu.com/S/SH600233
12,002838,道恩股份,3.21,7,https://xueqiu.com/S/SZ002838
13,002843,泰嘉股份,3.11,10,https://xueqiu.com/S/SZ002843
14,600069,银鸽投资,3.09,5,https://xueqiu.com/S/SH600069
15,002468,申通快递,3.06,10,https://xueqiu.com/S/SZ002468
16,002120,韵达股份,3.05,11,https://xueqiu.com/S/SZ002120
17,603444,吉比特,2.99,6,https://xueqiu.com/S/SH603444
18,603838,四通股份,2.98,10,https://xueqiu.com/S/SH603838
19,002841,视源股份,2.85,7,https://xueqiu.com/S/SZ002841
20,603323,吴江银行,2.44,12,https://xueqiu.com/S/SH603323
