,code,name,指标,count,url
0,002839,张家港行,10.01,1,https://xueqiu.com/S/SZ002839
1,603165,荣晟环保,10.01,1,https://xueqiu.com/S/SH603165
2,300591,万里马,9.99,1,https://xueqiu.com/S/SZ300591
3,000159,国际实业,7.26,3,https://xueqiu.com/S/SZ000159
4,300511,雪榕生物,6.16,3,https://xueqiu.com/S/SZ300511
5,000019,深深宝A,5.0,4,https://xueqiu.com/S/SZ000019
6,600650,锦江投资,4.85,4,https://xueqiu.com/S/SH600650
7,600281,太化股份,4.81,5,https://xueqiu.com/S/SH600281
8,600701,工大高新,4.74,5,https://xueqiu.com/S/SH600701
9,300599,雄塑科技,4.71,6,https://xueqiu.com/S/SZ300599
10,600608,上海科技,4.56,4,https://xueqiu.com/S/SH600608
11,603628,清源股份,4.52,4,https://xueqiu.com/S/SH603628
12,002807,江阴银行,4.34,4,https://xueqiu.com/S/SZ002807
13,600630,龙头股份,4.09,4,https://xueqiu.com/S/SH600630
14,603017,中衡设计,3.92,7,https://xueqiu.com/S/SH603017
15,601991,大唐发电,3.75,5,https://xueqiu.com/S/SH601991
16,600836,界龙实业,3.36,7,https://xueqiu.com/S/SH600836
17,300427,红相电力,3.23,8,https://xueqiu.com/S/SZ300427
18,600333,长春燃气,2.71,8,https://xueqiu.com/S/SH600333
19,300589,江龙船艇,2.56,9,https://xueqiu.com/S/SZ300589
