,code,name,指标,count,url
0,002839,张家港行,10.02,1,https://xueqiu.com/S/SZ002839
1,603638,艾迪精密,10.01,1,https://xueqiu.com/S/SH603638
2,300379,东方通,10.0,1,https://xueqiu.com/S/SZ300379
3,002747,埃斯顿,10.0,1,https://xueqiu.com/S/SZ002747
4,600836,界龙实业,9.95,1,https://xueqiu.com/S/SH600836
5,300589,江龙船艇,5.74,2,https://xueqiu.com/S/SZ300589
6,600231,凌钢股份,5.54,4,https://xueqiu.com/S/SH600231
7,603022,新通联,4.71,5,https://xueqiu.com/S/SH603022
8,600845,宝信软件,4.56,3,https://xueqiu.com/S/SH600845
9,002842,翔鹭钨业,4.34,4,https://xueqiu.com/S/SZ002842
10,000778,新兴铸管,4.21,3,https://xueqiu.com/S/SZ000778
11,002807,江阴银行,3.51,5,https://xueqiu.com/S/SZ002807
12,002840,华统股份,2.94,8,https://xueqiu.com/S/SZ002840
13,603032,德新交运,2.88,7,https://xueqiu.com/S/SH603032
14,000737,南风化工,2.84,13,https://xueqiu.com/S/SZ000737
15,600149,廊坊发展,2.8,9,https://xueqiu.com/S/SH600149
16,300591,万里马,2.59,20,https://xueqiu.com/S/SZ300591
17,603668,天马科技,2.51,14,https://xueqiu.com/S/SH603668
18,000877,天山股份,2.36,15,https://xueqiu.com/S/SZ000877
