,code,name,指标,count,url
0,600319,亚星化学,10.04,1,https://xueqiu.com/S/SH600319
1,300603,立昂技术,10.01,1,https://xueqiu.com/S/SZ300603
2,603218,日月股份,10.01,1,https://xueqiu.com/S/SH603218
3,000617,中油资本,10.0,1,https://xueqiu.com/S/SZ000617
4,600275,武昌鱼,8.44,2,https://xueqiu.com/S/SH600275
5,300376,易事特,6.5,2,https://xueqiu.com/S/SZ300376
6,300151,昌红科技,6.13,3,https://xueqiu.com/S/SZ300151
7,603311,金海环境,5.78,2,https://xueqiu.com/S/SH603311
8,000564,供销大集,5.67,2,https://xueqiu.com/S/SZ000564
9,300468,四方精创,4.88,4,https://xueqiu.com/S/SZ300468
10,300521,爱司凯,4.6,4,https://xueqiu.com/S/SZ300521
11,600841,上柴股份,4.36,3,https://xueqiu.com/S/SH600841
12,002839,张家港行,4.28,3,https://xueqiu.com/S/SZ002839
13,000881,中广核技,4.05,7,https://xueqiu.com/S/SZ000881
14,600456,宝钛股份,3.98,5,https://xueqiu.com/S/SH600456
15,002758,华通医药,3.1,5,https://xueqiu.com/S/SZ002758
16,000545,金浦钛业,2.93,6,https://xueqiu.com/S/SZ000545
17,600800,天津磁卡,2.74,8,https://xueqiu.com/S/SH600800
18,601216,君正集团,2.65,14,https://xueqiu.com/S/SH601216
19,603881,数据港,2.56,13,https://xueqiu.com/S/SH603881
20,002136,安纳达,2.56,11,https://xueqiu.com/S/SZ002136
21,000877,天山股份,2.51,11,https://xueqiu.com/S/SZ000877
22,603838,四通股份,2.48,18,https://xueqiu.com/S/SH603838
