,code,name,指标,count,url
0,000159,国际实业,10.05,1,https://xueqiu.com/S/SZ000159
1,600836,界龙实业,10.03,1,https://xueqiu.com/S/SH600836
2,603429,集友股份,10.0,1,https://xueqiu.com/S/SH603429
3,002845,同兴达,9.99,1,https://xueqiu.com/S/SZ002845
4,000810,创维数字,8.52,2,https://xueqiu.com/S/SZ000810
5,000631,顺发恒业,6.8,2,https://xueqiu.com/S/SZ000631
6,603838,四通股份,6.73,2,https://xueqiu.com/S/SH603838
7,000753,漳州发展,6.55,3,https://xueqiu.com/S/SZ000753
8,000548,湖南投资,5.7,2,https://xueqiu.com/S/SZ000548
9,600397,安源煤业,5.1,3,https://xueqiu.com/S/SH600397
10,002163,中航三鑫,4.56,3,https://xueqiu.com/S/SZ002163
11,600558,大西洋,4.51,3,https://xueqiu.com/S/SH600558
12,600714,金瑞矿业,4.32,5,https://xueqiu.com/S/SH600714
13,601968,宝钢包装,4.26,4,https://xueqiu.com/S/SH601968
14,600392,盛和资源,4.15,4,https://xueqiu.com/S/SH600392
15,603958,哈森股份,4.11,5,https://xueqiu.com/S/SH603958
16,300398,飞凯材料,3.64,5,https://xueqiu.com/S/SZ300398
17,603003,龙宇燃油,3.51,7,https://xueqiu.com/S/SH603003
18,603126,中材节能,3.27,7,https://xueqiu.com/S/SH603126
19,603799,华友钴业,2.91,8,https://xueqiu.com/S/SH603799
20,002820,桂发祥,2.8,9,https://xueqiu.com/S/SZ002820
21,601388,怡球资源,2.67,12,https://xueqiu.com/S/SH601388
22,600281,太化股份,2.65,12,https://xueqiu.com/S/SH600281
23,002807,江阴银行,2.45,12,https://xueqiu.com/S/SZ002807
24,601881,中国银河,2.3,16,https://xueqiu.com/S/SH601881
25,300099,尤洛卡,2.21,17,https://xueqiu.com/S/SZ300099
