,code,name,指标,count,url
0,300135,宝利国际,10.02,1,https://xueqiu.com/S/SZ300135
1,002842,翔鹭钨业,10.0,1,https://xueqiu.com/S/SZ002842
2,300591,万里马,9.21,2,https://xueqiu.com/S/SZ300591
3,603569,长久物流,7.06,2,https://xueqiu.com/S/SH603569
4,600971,恒源煤电,6.52,2,https://xueqiu.com/S/SH600971
5,002826,易明医药,5.97,2,https://xueqiu.com/S/SZ002826
6,601519,大智慧,5.74,2,https://xueqiu.com/S/SH601519
7,300413,快乐购,5.24,3,https://xueqiu.com/S/SZ300413
8,600792,云煤能源,4.99,4,https://xueqiu.com/S/SH600792
9,002835,同为股份,4.8,4,https://xueqiu.com/S/SZ002835
10,601858,中国科传,4.68,5,https://xueqiu.com/S/SH601858
11,002824,和胜股份,4.53,5,https://xueqiu.com/S/SZ002824
12,300461,田中精机,3.76,5,https://xueqiu.com/S/SZ300461
13,300023,宝德股份,3.56,4,https://xueqiu.com/S/SZ300023
14,600679,上海凤凰,3.46,8,https://xueqiu.com/S/SH600679
15,002800,天顺股份,3.43,10,https://xueqiu.com/S/SZ002800
16,002840,华统股份,3.3,6,https://xueqiu.com/S/SZ002840
17,600416,湘电股份,3.25,7,https://xueqiu.com/S/SH600416
18,300593,新雷能,3.19,10,https://xueqiu.com/S/SZ300593
19,603038,华立股份,2.98,7,https://xueqiu.com/S/SH603038
20,300376,易事特,2.8,7,https://xueqiu.com/S/SZ300376
21,300561,汇金科技,2.37,12,https://xueqiu.com/S/SZ300561
22,300582,英飞特,2.27,9,https://xueqiu.com/S/SZ300582
23,603239,浙江仙通,2.13,13,https://xueqiu.com/S/SH603239
