,code,name,指标,count,url
0,300371,汇中股份,6.21,3,https://xueqiu.com/S/SZ300371
1,603323,吴江银行,5.93,3,https://xueqiu.com/S/SH603323
2,600802,福建水泥,4.7,3,https://xueqiu.com/S/SH600802
3,600984,建设机械,4.36,3,https://xueqiu.com/S/SH600984
4,600963,岳阳林纸,3.72,4,https://xueqiu.com/S/SH600963
5,600075,新疆天业,3.7,6,https://xueqiu.com/S/SH600075
6,002455,百川股份,3.7,6,https://xueqiu.com/S/SZ002455
7,603839,安正时尚,3.59,6,https://xueqiu.com/S/SH603839
8,900923,百联B股,3.54,6,https://xueqiu.com/S/SH900923
9,600827,百联股份,3.5,4,https://xueqiu.com/S/SH600827
10,600908,无锡银行,3.48,8,https://xueqiu.com/S/SH600908
11,300300,汉鼎宇佑,3.35,6,https://xueqiu.com/S/SZ300300
12,603208,江山欧派,3.09,10,https://xueqiu.com/S/SH603208
13,002713,东易日盛,3.01,5,https://xueqiu.com/S/SZ002713
14,002235,安妮股份,2.99,5,https://xueqiu.com/S/SZ002235
15,000506,中润资源,2.98,9,https://xueqiu.com/S/SZ000506
16,002342,巨力索具,2.83,11,https://xueqiu.com/S/SZ002342
17,601128,常熟银行,2.73,12,https://xueqiu.com/S/SH601128
18,600858,银座股份,2.68,7,https://xueqiu.com/S/SH600858
19,600428,中远海特,2.64,9,https://xueqiu.com/S/SH600428
20,300323,华灿光电,2.62,11,https://xueqiu.com/S/SZ300323
21,002323,雅百特,2.37,13,https://xueqiu.com/S/SZ002323
22,002451,摩恩电气,2.09,15,https://xueqiu.com/S/SZ002451
